id,食品名,エネルギー,たんぱく質,脂質,炭水化物
1723,＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,113,20.9,3.6,0
1724,＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,107,21.2,2.7,0.2
1725,＜畜肉類＞　うし　［ひき肉］　生,251,17.1,21.1,0.3
1726,＜畜肉類＞　うし　［ひき肉］　焼き,280,25.9,21.3,0.4
1727,＜畜肉類＞　うし　［副生物］　舌　生,318,13.3,31.8,0.2
1728,＜畜肉類＞　うし　［副生物］　舌　焼き,401,20.2,37.1,0.2
1729,＜畜肉類＞　うし　［副生物］　心臓　生,128,16.5,7.6,0.1
1730,＜畜肉類＞　うし　［副生物］　肝臓　生,119,19.6,3.7,3.7
1731,＜畜肉類＞　うし　［副生物］　じん臓　生,118,16.7,6.4,0.2
1732,＜畜肉類＞　うし　［副生物］　第一胃　ゆで,166,24.5,8.4,0
1733,＜畜肉類＞　うし　［副生物］　第二胃　ゆで,186,12.4,15.7,0
1734,＜畜肉類＞　うし　［副生物］　第三胃　生,57,11.7,1.3,0
1735,＜畜肉類＞　うし　［副生物］　第四胃　ゆで,308,11.1,30,0
1736,＜畜肉類＞　うし　［副生物］　小腸　生,268,9.9,26.1,0
1737,＜畜肉類＞　うし　［副生物］　大腸　生,150,9.3,13,0
1738,＜畜肉類＞　うし　［副生物］　直腸　生,106,11.6,7,0
1739,＜畜肉類＞　うし　［副生物］　腱　ゆで,152,28.3,4.9,0
1740,＜畜肉類＞　うし　［副生物］　子宮　ゆで,95,18.4,3,0
1741,＜畜肉類＞　うし　［副生物］　尾　生,440,11.6,47.1,Tr
1742,＜畜肉類＞　うし　［副生物］　横隔膜　生,288,14.8,27.3,0.3
1743,＜畜肉類＞　うし　［副生物］　横隔膜　ゆで,414,21.3,36.7,0.2
1744,＜畜肉類＞　うし　［副生物］　横隔膜　焼き,401,21.1,37.2,0.3
1745,＜畜肉類＞　うし　［加工品］　ローストビーフ,190,21.7,11.7,0.9
1746,＜畜肉類＞　うし　［加工品］　コンビーフ缶詰,191,19.8,13,1.7
1747,＜畜肉類＞　うし　［加工品］　味付け缶詰,156,19.2,4.4,9.9
1748,＜畜肉類＞　うし　［加工品］　ビーフジャーキー,304,54.8,7.8,6.4
1749,＜畜肉類＞　うし　［加工品］　スモークタン,273,18.1,23,0.9
1750,＜畜肉類＞　うま　肉　赤肉　生,102,20.1,2.5,0.3
1751,＜畜肉類＞　くじら　肉　赤肉　生,100,24.1,0.4,0.2
1752,＜畜肉類＞　くじら　うねす　生,328,18.8,31.4,0.2
1753,＜畜肉類＞　くじら　本皮　生,577,9.7,68.8,0.2
1754,＜畜肉類＞　くじら　さらしくじら,28,5.3,0.9,0
1755,＜畜肉類＞　しか　あかしか　赤肉　生,102,22.3,1.5,0.5
1756,＜畜肉類＞　しか　にほんじか　赤肉　生,119,23.9,4,0.3
1757,＜畜肉類＞　しか　にほんじか　えぞしか　赤肉　生,126,22.6,5.2,0.6
1758,＜畜肉類＞　しか　にほんじか　ほんしゅうじか・きゅうしゅうじか　赤肉　生,107,22.6,2.5,0.1
1759,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生,201,18.5,14.6,0.2
1760,＜畜肉類＞　ぶた　［大型種肉］　かた　皮下脂肪なし　生,158,19.7,9.3,0.2
1761,＜畜肉類＞　ぶた　［大型種肉］　かた　赤肉　生,114,20.9,3.8,0.2
1762,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身　生,663,5.3,72.4,0
1763,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身つき　生,237,17.1,19.2,0.1
1764,＜畜肉類＞　ぶた　［大型種肉］　かたロース　皮下脂肪なし　生,212,17.8,16,0.1
1765,＜畜肉類＞　ぶた　［大型種肉］　かたロース　赤肉　生,146,19.7,7.8,0.1
1766,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身　生,644,5.4,70.7,0
1767,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,248,19.3,19.2,0.2
1768,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,299,23.9,24.1,0.3
1769,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,310,26.7,22.7,0.3
1770,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,429,22,35.9,9.8
1771,＜畜肉類＞　ぶた　［大型種肉］　ロース　皮下脂肪なし　生,190,21.1,11.9,0.3
1772,＜畜肉類＞　ぶた　［大型種肉］　ロース　赤肉　生,140,22.7,5.6,0.3
1773,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身　生,695,5.1,76.3,0
1774,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,366,14.4,35.4,0.1
1775,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　焼き,444,19.6,43.9,0.1
1776,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,171,20.5,10.2,0.2
1777,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　生,138,21.5,6,0.2
1778,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　ゆで,185,28.9,8.1,0.3
1779,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　焼き,186,30.2,7.6,0.3
1780,＜畜肉類＞　ぶた　［大型種肉］　もも　赤肉　生,119,22.1,3.6,0.2
1781,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身　生,611,6.5,67.6,0
